"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"2001","AFROASIAI SANDESH","55804","23-06-1992","Hindi","Daily","ANIL SHUKLA","AFROASIAI PRAKASHAN SAMITI","Uttar Pradesh","Lakhimpur Kheri"
"2002","AFROASIAN SANDESH","59690","12-01-1995","Urdu","Weekly","ANIL KUMAR SHUKLA","AFROASIAI PRAKASHAN SAMITI","Uttar Pradesh","Lakhimpur Kheri"
"2003","AFSANA","PUNPUN/2001/11254","20-11-2003","Punjabi","Monthly","GURMEET SINGH","GURMEET SINGH","Punjab","Ludhiana"
"2004","AFSOS","MPHIN/2015/65869","01-02-2016","Hindi","Weekly","PRADEEP BHATNAGAR","PRADEEP BHATNAGAR","Madhya Pradesh","Bhopal"
"2005","AFTAAB E WILAYAT","MAHENG/2021/84285","12-05-2023","English","Annual","SYED MOHAMMED QAISER","KAMELAH TRUST","Maharashtra","Thane"
"2006","AFTAAB E WILAYAT","MAHURD/2019/78196","29-11-2019","Urdu","Annual","SYED MOHAMMED QAISER","KAMELAH TRUST","Maharashtra","Thane"
"2007","AFTAB","12943","05-06-1967","Urdu","Daily","GULAM MOHAMAD MIZ","GULAM MOHAMAD MIZ","Jammu and Kashmir","Srinagar"
"2008","AFTAB E AHSAS","MAHURD/2017/72771","28-07-2017","Urdu","Half Yearly","SHAIKH ALEEMUDDIN ABHUL RASHEED","SHAIKH ALEEMUDDIN ABHUL RASHEED","Maharashtra","Nashik"
"2009","AFTAB E AWADH","UPURD/2010/36109","11-03-2011","Urdu","Daily","PUSHPA AGNIHOTRI","PUSHPA AGNIHOTRI","Uttar Pradesh","Lucknow"
"2010","AFTAB E AWADH","UPHIN/2016/71416","04-05-2017","Hindi","Daily","PUSHPA AGNIHOTRI","PUSHPA AGNIHOTRI","Uttar Pradesh","Lucknow"
"2011","AFTAB E BHOPAL","MPURD/2019/85290","23-08-2023","Urdu","Monthly","NAVED KHAN","NAVED KHAN","Madhya Pradesh","Bhopal"
"2012","AFTAB E BHOPAL","MPURD/2011/44161","19-07-2012","Urdu","Daily","NAVED KHAN","NAVED KHAN","Madhya Pradesh","Bhopal"
"2013","AFTAB E HIND","DELHIN/2010/34920","28-12-2010","Hindi","Weekly","M.J. ANSARI","M.J. ANSARI","Delhi","New Delhi"
"2014","AFTAB E HIND","DELURD/2006/19290","19-04-2007","Urdu","Daily","M.J. ANSARI","M.J. ANSARI","Delhi","New Delhi"
"2015","AFTAB E HIND","UPURD/2014/58108","11-11-2014","Urdu","Daily","M. J. ANSARI","M. J. ANSARI","Uttar Pradesh","Gorakhpur"
"2016","AFTAB E SEHAR","UPURD/2014/55993","24-06-2014","Urdu","Daily","ADITYA SHARMA","ADITYA SHARMA","Uttar Pradesh","Kanpur Nagar"
"2017","AFTAB E WATAN","UTTURD/2011/39079","05-10-2011","Urdu","Daily","MONU VERMA","MONU VERMA","Uttarakhand","Dehradun"
"2018","AFTAB TIMES","UPHIN/2013/51399","13-08-2013","HINDI","Daily","MOHD FAROOQ KHAN","MOHD FAROOQ KHAN","Uttar Pradesh","Gonda"
"2019","AFTAB TIMES","UPHIN/2010/34297","15-11-2010","Hindi","Fortnightly","MOHD. FAROOQ KHAN","MOHD. FAROOQ KHAN","Uttar Pradesh","Gonda"
"2020","AFTAB-E-HIDAYAT","UTTHIN/2006/18539","06-02-2007","Hindi","Quarterly","SYED ASHARAF HUSAIN KADARI","SYED ASHARAF HUSAIN KADARI","Uttarakhand","Dehradun"
"2021","AFTER BRAKE","DELHIN/2006/16722","08-03-2010","Hindi","Weekly","MANISH KUMAR SINHA","MANISH KUMAR SINHA","Delhi","New Delhi"
"2022","AFTER SCHOOL","DELENG/2012/40548","30-01-2012","English","Monthly","RASHMI LUTHRA","RASHMI LUTHRA","Delhi","New Delhi"
"2023","AFTERNOON","30540","06-11-1978","English","Daily","M N SUDHAN","M N SUDHAN","Tamil Nadu","Coimbatore"
"2024","AFTERNOON VOICE","MAHENG/2009/29332","09-03-2011","English","Daily","VAIDEHI SACHIN SRIVASTAV","NEWSMAKERS PUBLICATIONS PVT. LTD.","Maharashtra","Mumbai"
"2025","AFWAHA","MPHIN/2011/40578","30-01-2012","Hindi","Monthly","SAMEER SHAHNI","SAMEER SHAHNI","Madhya Pradesh","Bhopal"
"2026","AFZAL EXPRESS","DELURD/2015/61583","27-04-2015","Urdu","Weekly","AFZAL KHAN","AFZAL KHAN","Delhi","New Delhi"
"2027","AGA CHUDAR","TNTAM/2004/14792","19-10-2012","Tamil","Monthly","A.V. KUMARESAN","AGAMUDAIYAR EDUCATIONAL UPLIFT ASSOCIATION","Tamil Nadu","Chennai"
"2028","AGAAZ E CHANDAN","MPHIN/2012/43110","02-09-2013","Hindi","Daily","ARSHAD KHAN","ARSHAD KHAN","Madhya Pradesh","Indore"
"2029","AGAAZ E CHANDAN","MPHIN/2014/55342","16-04-2014","Hindi","Daily","ARSHAD KHAN","ARSHAD KHAN","Madhya Pradesh","Bhopal"
"2030","AGAAZ E CHANDAN","MPHIN/2013/52457","08-10-2013","Hindi","Daily","ARSHAD KHAN","ARSHAD KHAN","Madhya Pradesh","Indore"
"2031","AGAAZ E JUNG","UPURD/2014/55535","06-05-2014","Urdu","Daily","SABA JAMEEL","SABA JAMEEL","Uttar Pradesh","Lucknow"
"2032","AGAAZ E WATAN","MPHIN/2016/69176","09-11-2016","Hindi","Monthly","ABDUL QUADIR","ABDUL QUADIR","Madhya Pradesh","Bhopal"
"2033","AGAAZ KESARI","RAJHIN/2010/31211","03-06-2013","Hindi","Fortnightly","SUNIL SHARMA","SUNIL SHARMA","Rajasthan","Jaipur"
"2034","AGAJ","UTTHIN/2002/10014","27-02-2003","Hindi","Weekly","ASHOK KHANNA","ASHOK KHANNA","Uttarakhand","Dehradun"
"2035","AGAM BANI","33533","07-10-2013","Assamese","Monthly","RAGHUNANDAN DUTTA","SATSANG","Jharkhand","Deoghar"
"2036","AGAM MAKIZHL","TNTAM/2015/64634","09-11-2015","Tamil","Weekly","KARTHEESWARAN A","KARTHEESWARAN  A","Tamil Nadu","Madurai"
"2037","AGAM NIGAM","MAHHIN/2002/09055","13-02-2003","Hindi","Monthly","GAJRAJ MISHRIMALJI MEHTA","GAJRAJ M. MEHTA","Maharashtra","Mumbai"
"2038","AGAMI DUNIYA","ODIODI/2010/33999","20-10-2010","Oriya","Monthly","PARTHA SARATHI JENA","PARTHA SARATHI JENA","Odisha","Khordha"
"2039","AGAMI ORISSA","ODIBIL/2008/24137","30-05-2008","English, Oriya","Daily","B. L. MISHRA","B.L. MISHRA","Odisha","Khordha"
"2040","AGAMUDAYA MUDALIYAR","TNTAM/2014/60606","05-03-2015","Tamil","Fortnightly","A. VIJAYAKUMAR","A. VIJAYAKUMAR","Tamil Nadu","Vellore"
"2041","AGAMY MEDIA","RJHIN/26/A2999","30-04-2026","Hindi","Daily Evening","VIPLAV KUMAR JAIN","VIPLAV KUMAR JAIN","Rajasthan","Udaipur"
"2042","AGAMY MEDIA","RAJHIN/2023/90687","30-04-2025","HINDI","Monthly","VIPLAV KUMAR JAIN","VIPLAV KUMAR JAIN","Rajasthan","Udaipur"
"2043","AGAPE","40876","07-05-1988","English","Bimonthly (Once in two months)","LALCHHUANLIANA","AGAPE ASSOCIATION","Mizoram","Aizawl"
"2044","AGAR DARPAN","MPHIN/2016/70775","28-03-2017","Hindi","Monthly","MUKESH RAWAL","MUKESH RAWAL","Madhya Pradesh","Ujjain"
"2045","AGAR EXPRESS","MPHIN/2017/70812","10-04-2017","Hindi","Monthly","ANIL KUMAR","ANIL KUMAR","Madhya Pradesh","Bhopal"
"2046","AGAR HALCHAL","MPHIN/2016/70745","20-03-2017","Hindi","Monthly","SUNNY KUSHWAH","SUNNY KUSHWAH","Madhya Pradesh","Ujjain"
"2047","AGAR KESARI","DELBIL/2016/74380","18-01-2018","English, HINDI","Weekly","RAJENDER AGGARWAL","RAJENDER AGGARWAL","Delhi","New Delhi"
"2048","AGAR MALWA CHARCHA","MPHIN/2017/70831","03-04-2017","Hindi","Monthly","RAJESH PANCHAL","RAJESH PANCHAL","Madhya Pradesh","Ujjain"
"2049","AGAR MALWA JANMAT","MPHIN/2017/70721","16-03-2017","Hindi","Monthly","MANOHAR SINGH","MANOHAR SINGH","Madhya Pradesh","Ujjain"
