"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"501","AAJ SAMAJ","HARHIN/2022/83432","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Sirsa"
"502","AAJ SAMAJ","HARHIN/2022/83425","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Hisar"
"503","AAJ SAMAJ","HARHIN/2022/83426","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Charki Dadri"
"504","AAJ SAMAJ","HARHIN/2017/72026","30-05-2017","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Ambala"
"505","AAJ SAMAJ","HARHIN/2022/83423","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Rohtak"
"506","AAJ SAMAJ","HARHIN/2022/83427","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Bhiwani"
"507","AAJ SAMAJ","HARHIN/2022/83419","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Panipat"
"508","AAJ SAMAJ","HARHIN/2022/83412","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Palwal"
"509","AAJ SAMAJ","HARHIN/2022/83416","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Kurukshetra"
"510","AAJ SAMAJ","HARHIN/2022/83573","24-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Gurugram"
"511","AAJ SAMAJ","HARHIN/2022/83431","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Jhajjar"
"512","AAJ SAMAJ","HARHIN/2022/83409","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Yamunanagar"
"513","AAJ SAMAJ","CHHIN/26/A6906","14-08-2026","Hindi","Daily","Rakesh Sharma","Good Morning India Media Pvt Ltd","Chandigarh","Chandigarh"
"514","AAJ SAMAJ","HARHIN/2022/83429","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Rewari"
"515","AAJ SAMAJ","HARHIN/2022/83438","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Fatehabad"
"516","AAJ SE SHAM TAK","UPHIN/2006/22103","10-12-2007","Hindi","Daily","SHYAM PRAKASH CHAURASIYA","SHYAM PRAKASH CHAURASIYA","Uttar Pradesh","Lucknow"
"517","AAJ SHAAM","PUNHIN/2009/27345","30-03-2009","Hindi","Daily","SIMMI SURI","SIMMI SURI","Punjab","Jalandhar"
"518","AAJ SUBAH","DELHIN/2013/49507","07-05-2013","Hindi","Weekly","GULFAM","GULFAM","Delhi","New Delhi"
"519","AAJ TAK 24 SHAHAR KI NAZAR","MPHIN/2021/82688","10-11-2022","Hindi","Daily","CHANDRA SHEKHAR","CHANDRA SHEKHAR","Madhya Pradesh","Bhopal"
"520","AAJ TAK 24 SHAHAR KI NAZAR","MPHIN/2015/60715","11-03-2015","Hindi","Weekly","CHANDRA SHEKHAR","CHANDRA SHEKHAR","Madhya Pradesh","Dhar"
"521","AAJ TAK AAMNE SAAMNE","PUNHIN/2013/54688","21-02-2014","Hindi","Fortnightly","MANDEEP KAUR","MANDEEP KAUR","Punjab","Jalandhar"
"522","AAJ TAK EXPRESS","DELURD/2016/67517","17-06-2016","Urdu","Daily","URFI OBAID","URFI OBAID","Delhi","New Delhi"
"523","AAJ TAK FATEHABAD","HARHIN/2014/58436","26-11-2014","Hindi","Weekly","VIJAY KUMAR","VIJAY KUMAR","Haryana","Fatehabad"
"524","AAJ TAK GURGAON","HARHIN/2012/48353","01-03-2013","Hindi","Weekly","SATBIR BHARDWAJ","SATBIR BHARDWAJ","Haryana","Gurugram"
"525","AAJ TAK HARYANA","HARHIN/2011/38807","06-09-2011","Hindi","Monthly","ANJANI GOYAL","ANJANI GOYAL","Haryana","Sirsa"
"526","AAJ TAK TEHKIKAT","UPHIN/2014/58954","13-12-2014","Hindi","Fortnightly","MOHD SHADAB RIZVI","MOHD SHADAB RIZVI","Uttar Pradesh","Bijnor"
"527","AAJ TAK TRIVENI","HARHIN/2021/88208","26-07-2024","HINDI","Monthly","NARESH KUMAR","NARESH KUMAR","Haryana","Sirsa"
"528","AAJACHA JAN MAN","MAHMAR/2010/33705","22-09-2010","Marathi","Daily","SAVITA BALASAHEB BOTHEPATIL","SAVITA BALASAHEB BOTHEPATIL","Maharashtra","Pune"
"529","AAJACHA LOKPRASHNA","MAHMAR/2006/19615","04-05-2007","Marathi","Daily","MANE DEELIP RAMCHANDRA","MANE DEELIP RAMCHANDRA","Maharashtra","Parbhani"
"530","AAJACHA MAHARASHTRA TOP 10 NEWS","MAHMAR/2023/89424","08-10-2024","MARATHI","Weekly","PRASHANT GANPAT MORE","PRASHANT GANPAT MORE","Maharashtra","Raigad"
"531","AAJACHA MAWALA","MAHMAR/2023/87578","20-06-2024","MARATHI","Weekly","RAHUL BALASAHEB SONAWANE","RAHUL BALASAHEB SONAWANE","Maharashtra","Satara"
"532","AAJACHA MUMBAI MITRA","MAHMAR/2007/22233","20-12-2007","Marathi","Daily","ABHIJEET ASHOK RANE","VAST MEDIA NETWORK PVT. LTD.","Maharashtra","Mumbai"
"533","AAJACHA SATARA SANGLI","MAHMAR/2016/67105","30-05-2016","Marathi","Weekly","MOHAN AKARAM WAGHMARE","MOHAN AKARAM WAGHMARE","Maharashtra","Thane"
"534","AAJACHI RANRAGINI","MHMAR/26/A5365","19-06-2026","Marathi","Weekly","REKHA BASGONDA PATIL","REKHA BASGONDA PATIL","Maharashtra","Kolhapur"
"535","AAJAD HIND TIMES","UTTHIN/2014/57581","01-10-2014","Hindi","Weekly","RAJESHWARI","RAJESHWARI","Uttarakhand","Garhwal"
"536","AAJAKO SANDESH","SIKNEP/2008/23509","07-04-2008","Nepali","Weekly","PEMPA MOKTAN","PEMPA MOKTAN","Sikkim","East Sikkim"
"537","AAJCHA DINKAR","MAHMAR/2003/12411","07-05-2004","Marathi","Daily","NITIN SHYAM JOSHI","NITIN SHYAM JOSHI","Maharashtra","Nashik"
"538","Aajcha Prakashdoot","MHMAR/26/A3455","11-05-2026","Marathi","Daily","Vaishali Nilesh Shimpi","Vaishali Nilesh Shimpi","Maharashtra","Nashik"
"539","AAJCHA TATRAKSHAK","MAHMAR/2001/11206","13-11-2003","Marathi","Weekly","PRAVIN N. DAVANE","PRAVIN N. DAVANE","Maharashtra","Thane"
"540","AAJCHAA PANCHNAAMAA","MHMAR/26/A3274","07-05-2026","Marathi","Weekly","sangita nandkumar kamble","sangita nandkumar kamble","Maharashtra","Nanded"
"541","aajche pravachankar","MHMAR/25/A0785","30-05-2025","Marathi","Weekly","Gangadhar Gulabrao Jamnik","Gangadhar Gulabrao Jamnik","Maharashtra","Palghar"
"542","AAJCHE RAJKARAN","MHBIL/26/A3793","15-05-2026","Hindi, Marathi","Weekly","Ramesh Pandit Sonwane","Ramesh Pandit Sonwane","Maharashtra","Jalgaon"
"543","AAJCHI BATMAY","MAHMAR/2020/83303","31-01-2023","Marathi","Daily","NARENDRA CHINTAMANRAO DESHPANDE","NARENDRA CHINTAMANRAO DESHPANDE","Maharashtra","Amravati"
"544","AAJCHI KHANDESH UNNATI","MAHMAR/2018/76625","31-12-2018","Marathi","Monthly","UJJWALA SHIVAJIRAO THORAT","UJJWALA SHIVAJIRAO THORAT","Maharashtra","Dhule"
"545","AAJCHI NAVI MUMBAI","57139","21-02-2013","MARATHI","Weekly","SANJAY KUMAR DAMODAR SURVE","SANJAY KUMAR DAMODAR SURVE","Maharashtra","Mumbai"
"546","AAJEEVIKA SAHARA","MPHIN/2016/68830","28-09-2016","Hindi","Monthly","SWARNIMA","SWARNIMA","Madhya Pradesh","Bhopal"
"547","AAJI PARJYANTA","ORORI/25/A0332","22-05-2025","Oriya","Weekly","CHITTARANJAN MOHANTY","CHITTARANJAN MOHANTY","Odisha","Puri"
"548","AAJKAAL","37263","18-06-2010","Bengali","Daily","JYOTI PRAKASH KHAN","M/S AAJ KAL PUBLISHERS LTD","West Bengal","Kolkata"
"549","AAJKAAL SUSTHA","70329","31-03-1999","Bengali","Monthly","PRATAP KUMAR ROY","AAJKAAL PUBLISHER LTD.","West Bengal","Kolkata"
"550","AAJKAL GUJARAT","GJGUJ/26/A6667","11-08-2026","Gujarati","Weekly","Chavda Ajay","Chavda Ajay","Gujarat","Ahmedabad"
"551","AAJKAL SAFAR","WBBEN/2000/02132","24-10-2000","Bengali","Monthly","PRATAP KUMAR ROY","AAJKAL PUBLISHERS LTD.","West Bengal","Kolkata"
"552","AAJKER BARRACKPORE","WBBEN/2001/05218","21-02-2012","Bengali","Fortnightly","KAKALI BHATTACHARJEE","KAKALI BHATTACHARJEE","West Bengal","North 24 Parganas"
"553","AAJKER BASUNDHARA","WBBEN/2011/41525","11-04-2012","Bengali","Monthly","BISWAJIT MAHAKUR","JOYGOPALPUR GRAM VIKASH KENDRA","West Bengal","North 24 Parganas"
"554","AAJKER DARPAN","WBBEN/26/A4362","27-05-2026","Bengali","Weekly","GULAM ASHIQUE","GULAM ASHIQUE","West Bengal","Paschim Medinipur"
