"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"4501","ANDHRA AKSHRA","APTEL/2012/45205","03-05-2017","Telugu","Monthly","SHAIK. MAHABOOB BASHA","SHAIK MAHABOOB BASHA","Andhra Pradesh","Kurnool"
"4502","ANDHRA AKSHRA","APTEL/2010/33325","03-05-2017","Telugu","Daily","SHAIK. MAHABOOB BASHA","SHAIK MAHABOOB BASHA","Andhra Pradesh","Kurnool"
"4503","ANDHRA BHERI","APTEL/2001/05839","30-01-2002","TELUGU","Monthly","MARELLA JYOTHI VIJAYA LAKSHMI KUMARI","MARELLA JYOTHI VIJAYA LAKSHMI KUMARI","Andhra Pradesh","Sri Potti Sriramulu Nellore"
"4504","ANDHRA BHOOMI","APTEL/2001/04767","06-11-2012","Telugu","Daily","MR K SUDHAKAR","DECCAN CHRONICLE HOLDINGS LTD","Andhra Pradesh","Karimnagar"
"4505","ANDHRA BHOOMI","APTEL/2003/11049","24-10-2003","Telugu","Daily","K SUDHAKAR","DECCAN CHRONICLE HOLDINGS LTD","Andhra Pradesh","Sri Potti Sriramulu Nellore"
"4506","ANDHRA BHOOMI","52743","06-11-2012","Telugu","Daily","K. SUDHAKAR","DECCAN CHRONICLE HOLDINGS LTD.","Andhra Pradesh","N T R"
"4507","ANDHRA BHOOMI","61664","28-02-1994","Telugu","Daily","K SUDHAKAR","DECCAN CHRONICLE HOLDINGS LTD","Andhra Pradesh","East Godavari"
"4508","ANDHRA BHOOMI","44814","23-03-2010","Telugu","Daily","K. SUDHAKAR","DECCAN CHRONICLE HOLDINGS LTD","Andhra Pradesh","N T R"
"4509","ANDHRA BHOOMI","APTEL/1999/00409","24-02-2000","Telugu","Daily","K.SUDHAKAR","DECCAN CHRONICLE HOLDINGS LTD","Andhra Pradesh","Anantapur"
"4510","ANDHRA BHOOMI","5595","25-02-1994","Telugu","Daily","T. VENKATESWARLU","DECCAN CHRONICLE HOLDINGS LTD.","Telangana","Hyderabad"
"4511","ANDHRA BHOOMI SACHITRA MASA PATRIKA","32317","17-03-2010","Telugu","Monthly","T. VENKATESWARLU","DECCAN CHRONICLE HOLDINGS LTD","Telangana","Hyderabad"
"4512","ANDHRA BHOOMI SACHITRA VARA PATRIKA","32159","17-03-2010","Telugu","Weekly","T. VENKATESWARLU","DECCAN CHRONICLE HOLDINGS LTD","Telangana","Hyderabad"
"4513","ANDHRA BHUPATI","APTEL/25/A2539","15-09-2025","Telugu","Daily","MASAPOGU ESWARAIAH","MASAPOGU ESWARAIAH","Andhra Pradesh","Kurnool"
"4514","ANDHRA CHAITANYA RADHAM","APTEL/2023/88077","26-07-2024","TELUGU","Daily Evening","MUGADA JAGADEESH","MUGADA JAGADEESH","Andhra Pradesh","Vizianagaram"
"4515","ANDHRA CHAMBER OF COMMERCE BULLETIN","APBIL/2010/34727","06-08-2012","English, Telugu","Monthly","TIPIRNENI PARDHASARADHI","THE ANDHRA CHAMBER OF COMMERCE AND INDUSTRY ASSOCIATION","Andhra Pradesh","N T R"
"4516","ANDHRA CONSUMER RIGHT","APTEL/2023/88587","20-08-2024","TELUGU","Weekly","PENTAKOTA VENKATA NAGESWARARAO","PENTAKOTA VENKATA NAGESWARARAO","Andhra Pradesh","Visakhapatnam"
"4517","ANDHRA DAIRY","APTEL/2013/49617","13-05-2013","Telugu","Daily","KANDI VENKATA UMAMAHESWARA RAO","KANDI VENKATA UMAMAHESWARA RAO","Andhra Pradesh","Khammam"
"4518","ANDHRA DAIRY","APTEL/2013/49616","13-05-2013","Telugu","Daily","KANDI VENKATA UMAMAHESWARA RAO","KANDI VENKATA UMAMAHESWARA RAO","Andhra Pradesh","Kakinada"
"4519","ANDHRA DAIRY","APTEL/2010/36300","21-03-2011","Telugu","Daily","KANDI VENKATA UMAMAHESWARA RAO","KANDI VENKATA UMA MA","Andhra Pradesh","Visakhapatnam"
"4520","ANDHRA DAIRY","APTEL/2006/18199","17-01-2007","Telugu","Daily","KANDI VENKATA UMA MAHESWARA RAO","KANDI VENKATA UMA MAHESWARA RAO","Andhra Pradesh","Eluru"
"4521","ANDHRA ECHO","APENG/2010/33554","07-09-2010","English","Daily","CH . RAMI REDDY","CH. RAMI REDDY","Andhra Pradesh","Hyderabad"
"4522","ANDHRA ECHO","APENG/2014/56967","05-09-2014","English","Daily","CH. RAMI REDDY","CH. RAMI REDDY","Andhra Pradesh","Guntur"
"4523","ANDHRA FOCUS","APTEL/2018/76439","22-11-2018","Telugu","Daily","THATIPUDI VARAHA VENKATA SATYANARAYANA","THATIPUDI VARAHA VENKATA SATYANARAYANA","Andhra Pradesh","Visakhapatnam"
"4524","ANDHRA JANAM","APTEL/2017/71943","23-05-2017","Telugu","Daily","GADDALA NAGABHUSHANAM","GADDALA NAGA BHUSHANAM","Andhra Pradesh","Guntur"
"4525","ANDHRA JANATA","3261","15-05-1955","Telugu","Daily","SEETA YUDHVIR","JANTHA TRUST","Telangana","Hyderabad"
"4526","ANDHRA JYOTHI","APTEL/2003/09741","31-08-2012","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Telangana","Warangal"
"4527","ANDHRA JYOTHI","APTEL/2004/11739","08-07-2013","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Andhra Pradesh","Kurnool"
"4528","ANDHRA JYOTHI","APTEL/2004/12975","11-09-2012","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Telangana","Nizamabad"
"4529","ANDHRA JYOTHI","APTEL/2004/12966","14-09-2012","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Andhra Pradesh","Prakasam"
"4530","ANDHRA JYOTHI","44903","21-12-2012","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT.LTD.","Telangana","Hyderabad"
"4531","ANDHRA JYOTHI","APTEL/2004/11741","08-07-2013","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Andhra Pradesh","Srikakulam"
"4532","ANDHRA JYOTHI","TNTEL/2006/17401","29-09-2006","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Tamil Nadu","Chennai"
"4533","ANDHRA JYOTHI","APTEL/2003/09742","31-08-2012","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Telangana","Karimnagar"
"4534","ANDHRA JYOTHI","APTEL/2004/11742","08-07-2013","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Andhra Pradesh","Sri Potti Sriramulu Nellore"
"4535","ANDHRA JYOTHI","52780","08-07-2013","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Andhra Pradesh","Visakhapatnam"
"4536","ANDHRA JYOTHI","3470","31-08-2012","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Andhra Pradesh","Krishna"
"4537","ANDHRA JYOTHI","APTEL/2008/24549","31-08-2012","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Telangana","Mahbubnagar"
"4538","ANDHRA JYOTHI","APTEL/2004/13036","08-07-2013","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Telangana","Nalgonda"
"4539","ANDHRA JYOTHI","KARTEL/2006/19826","23-10-2012","Telugu","Daily","G V SRIKANTH","AAMODA PUBLICATIONS PVT. LTD.","Karnataka","Bengaluru"
"4540","ANDHRA JYOTHI","APTEL/2003/09781","13-03-2003","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Andhra Pradesh","Guntur"
"4541","ANDHRA JYOTHI","APTEL/2004/11932","31-08-2012","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Telangana","Khammam"
"4542","ANDHRA JYOTHI","APTEL/2003/10031","31-08-2012","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Andhra Pradesh","Ananthapuramu"
"4543","ANDHRA JYOTHI","APTEL/2004/11740","31-08-2012","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Andhra Pradesh","East Godavari"
"4544","ANDHRA JYOTHI","APTEL/2003/11850","26-10-2012","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Andhra Pradesh","Y.S.R."
"4545","ANDHRA JYOTHI","APTEL/2003/09832","31-08-2012","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Andhra Pradesh","West Godavari"
"4546","ANDHRA JYOTHI","44936","31-08-2012","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Andhra Pradesh","Chittoor"
"4547","ANDHRA LAW TIMES","69919","02-05-1999","English","Fortnightly","L D GOGIA","K.S GOGIA","Telangana","Hyderabad"
"4548","ANDHRA LAW TIMES (LEGISLATIVE SUPPLEMENT)","69920","02-05-1999","English","Monthly","L D GOGIA","L.D.GOGIA","Andhra Pradesh","Hyderabad"
"4549","ANDHRA LAW TIMES (REVENUE)","69921","02-05-1999","English","Monthly","L.D. GOGIA","L.D.GOGIA","Telangana","Hyderabad"
"4550","ANDHRA LAXMI","APTEL/2009/29147","08-10-2009","Telugu","Weekly","SHAIK GHOUSE BASHA","SHAIK GHOUSE BASHA","Andhra Pradesh","Sri Potti Sriramulu Nellore"
"4551","ANDHRA LAXMI","APTEL/2015/63884","25-08-2015","Telugu","Daily","SHAIK GHOUSE BASHA","SHAIK GHOUSE BASHA","Andhra Pradesh","Sri Potti Sriramulu Nellore"
"4552","ANDHRA LEGAL DECISIONS","70422","04-08-1999","English","Fortnightly","HASIN AHMAD","HASIN AHMED","Telangana","Hyderabad"
"4553","ANDHRA LEGAL DECISIONS (CRIMINAL)","APENG/2000/01959","23-09-2000","English","Monthly","HASIN AHMED","HASIN AHMED","Telangana","Hyderabad"
"4554","ANDHRA LEKHA","APTEL/2008/27504","20-04-2009","Telugu","Daily","METTA KRISHNA RAO","METTA KRISHNA RAO","Andhra Pradesh","Visakhapatnam"
"4555","ANDHRA LOKHAM","APTEL/2018/74871","23-02-2018","Telugu","Daily","BANDARU SATYANARAYANA","BANDARU SATYANARAYANA","Andhra Pradesh","Visakhapatnam"
"4556","ANDHRA LUTHERAN","10923","01-01-1957","Telugu","Monthly","REV. D.V. DANIEL","ANDHRA EVANGELICAL LURTHERAN CHURCH","Andhra Pradesh","Guntur"
"4557","ANDHRA MINDS","APTEL/2016/70237","31-01-2017","Telugu","Daily","KOMMINENI PRASAD","KOMMINENI.PRASAD","Andhra Pradesh","Guntur"
"4558","ANDHRA MONARCH","APTEL/2023/87684","26-06-2024","TELUGU","Daily","VARIGONDA KASI VISWESWARA RAO","VARIGONDA KASI VISWESWARA RAO","Andhra Pradesh","N T R"
"4559","ANDHRA MUCHATLU","APTEL/2023/88191","29-07-2024","TELUGU","Monthly","ANUMULA THARA SHANKAR","ANUMULA THARA SHANKAR","Andhra Pradesh","Sri Potti Sriramulu Nellore"
"4560","ANDHRA MUTHYAM","APTEL/2011/36819","18-04-2011","Telugu","Daily","BANDRA RAMACHANDRAIAH","BANDA RAMACHANDRAIAH,","Andhra Pradesh","Chittoor"
"4561","ANDHRA NAADI","APTEL/2012/46501","20-11-2012","Telugu","Daily","S. JAKEER HUSSAIN","S. JAKEER HUSSAIN","Andhra Pradesh","Kurnool"
"4562","ANDHRA NEWS","APTEL/2023/88447","17-09-2025","Telugu","Daily","PADALA CHAKRA VENI","PADALA CHAKRA VENI","Andhra Pradesh","East Godavari"
"4563","ANDHRA NEWS","APTEL/26/A1915","25-03-2026","Telugu","Daily","Padala Chakra Veni","Padala Chakra Veni","Andhra Pradesh","Visakhapatnam"
"4564","ANDHRA NEWS","APTEL/26/A1916","25-03-2026","Telugu","Daily","Padala Chakra Veni","Padala Chakra Veni","Andhra Pradesh","Krishna"
"4565","ANDHRA NEWS","APTEL/25/A5078","11-12-2025","Telugu","Daily","Padala Chakra Veni","Padala Chakra Veni","Andhra Pradesh","Kakinada"
"4566","ANDHRA NEWS","APTEL/26/A1544","16-03-2026","Telugu","Daily","Padala Chakra Veni","Padala Chakra Veni","Andhra Pradesh","Chittoor"
"4567","ANDHRA NYAYA ANVESHITHA","APTEL/2018/76555","14-12-2018","Telugu","Daily","PIDUGULA DEVENDER","PIDUGULA DEVENDER","Andhra Pradesh","Kurnool"
"4568","ANDHRA OUTLOOK","APTEL/2023/90099","12-11-2024","TELUGU","Monthly","JAGADESHWARA RAO DASARI","JAGADESHWARA RAO DASARI","Andhra Pradesh","Srikakulam"
"4569","ANDHRA PAKSHAM","APTEL/2015/63168","09-07-2015","Telugu","Daily","D. PEDDA JAMAL BASHA","D. PEDDA JAMAL BASHA","Andhra Pradesh","Kurnool"
"4570","ANDHRA PATHAM","APTEL/2013/48080","18-02-2013","Telugu","Daily","N.P.RAMA RAO","N.P.RAMA RAO","Andhra Pradesh","Visakhapatnam"
"4571","ANDHRA PATRIKA","10721","29-06-1965","Telugu","Daily","KANCHARLA RAMAIAH","NAGESWAR RAO ESTATE PRIVATE LTD.","Andhra Pradesh","N T R"
"4572","ANDHRA PATRIKA UDAYAM DINAPATRIKA","APTEL/2015/64910","24-11-2015","Telugu","Daily","R.SUSEELA DEVI","R.SUSEELA DEVI","Andhra Pradesh","Krishna"
"4573","ANDHRA POWER","APTEL/2015/63513","31-07-2015","Telugu","Daily","MOHAMAD ESMAIL","MOHAMAD ESMAIL","Andhra Pradesh","Visakhapatnam"
"4574","ANDHRA PRABHA","TELTEL/2007/20813","14-08-2007","Telugu","Daily","MOOTHA GOUTAM","ANDHRA PRABHA PUBLICATIONS LIMITED","Telangana","Nalgonda"
"4575","ANDHRA PRABHA","APTEL/2008/25288","13-08-2008","Telugu","Daily","MOOTHA GOUTAM","ANDHRA PRABHA PUBLICATIONS LIMITED","Andhra Pradesh","Anantapur"
"4576","ANDHRA PRABHA","APTEL/2003/10544","18-08-2003","Telugu","Daily","MOOTHA GOPALA KRISHNA","ANDHRA PRABHA PUBLICATIONS LIMITED","Andhra Pradesh","Krishna"
"4577","ANDHRA PRABHA","APTEL/2003/10543","18-08-2003","Telugu","Daily","MOOTHA GOPALAKRISHNA","ANDHRA PRABHA PUBLICATIONS LIMITED","Andhra Pradesh","Chittoor"
"4578","ANDHRA PRABHA","TELTEL/2009/28777","24-08-2009","Telugu","Daily","MOOTHA GOPALA KRISHNA","ANDHRA PRABHA PUBLICATIONS LIMITED","Telangana","Nizamabad"
"4579","ANDHRA PRABHA","APTEL/2008/26174","11-11-2008","Telugu","Daily","MOOTHA GOPALA KRISHNA","ANDHRA PRABHA PUBLICATIONS LIMITED","Andhra Pradesh","Sri Potti Sriramulu Nellore"
"4580","ANDHRA PRABHA","APTEL/2003/10541","18-08-2003","TELUGU","Daily","MOOTHA GOUTAM","ANDHRA PRABHA PUBLICATIONS LIMITED","Andhra Pradesh","East Godavari"
"4581","ANDHRA PRABHA","APTEL/2006/20810","13-08-2007","Telugu","Daily","MOOTHA GOPALA KRISHNA","ANDHRA PRABHA PUBLICATIONS LIMITED","Andhra Pradesh","Kurnool"
"4582","ANDHRA PRABHA","TELTEL/2003/10542","18-08-2003","TELUGU","Daily","MOOTHA GOUTAM","ANDHRA PRABHA PUBLICATIONS LIMITED","Telangana","Karimnagar"
"4583","ANDHRA PRABHA","44902","17-04-2013","Telugu","Daily","MOOTHA GOUTAM","ANDHRA PRABHA PUBLICATIONS LIMITED","Andhra Pradesh","Visakhapatnam"
"4584","ANDHRA PRABHA","3464","11-10-2006","TELUGU","Daily","MOOTHA GOPALA KRISHNA","ANDHRA PRABHA PUBLICATIONS LIMITED","Andhra Pradesh","Krishna"
"4585","ANDHRA PRABHA","49492","01-01-1988","Telugu","Daily","NA","NA","Andhra Pradesh",""
"4586","ANDHRA PRABHA","32178","09-04-2012","Telugu","Daily","MOOTHA GOUTAM","ANDHRA PRABHA PUBLICATIONS LTD.","Telangana","Hyderabad"
"4587","ANDHRA PRADESH","APENG/2007/20679","02-08-2007","English","Monthly","G. VALLISWAR","DIRECTOR OF INFORMATION AND PUBLIC  RELATIONS","Andhra Pradesh","Hyderabad"
"4588","ANDHRA PRADESH","10926","23-06-1967","Telugu","Monthly","RAMESH BABU KANDULA","DIRECTOR OF INFORMATION AND PUBLIC  RELATIONS","Telangana","Hyderabad"
"4589","ANDHRA PRADESH CHEMIST","27693","12-12-2005","English, Telugu","Monthly","DR. GHISULAL JAIN","ANDHRA PRADESH CHEMISTS & DRUGISTS ASSOCIATION","Telangana","Hyderabad"
"4590","ANDHRA PRADESH KARMIKULA NEWS","APTEL/2017/75242","18-05-2018","Telugu","Daily","THALETI RAMA CHANDRAIAH","THALETI RAMA CHANDRAIAH","Andhra Pradesh","Chittoor"
"4591","ANDHRA PRADESH PANCHAYATI RAJ UPADYAYA","70860","09-06-1999","Telugu","Monthly","B. MOHAN REDDY","PANCHAYATI RAJ TEACHERS` UNION ANDHRA PRADESH","Telangana","Hyderabad"
"4592","ANDHRA PRADESH SAMACHARAM","APTEL/25/A2057","04-08-2025","Telugu","Daily","Shaik Azhar","Shaik Azhar","Andhra Pradesh","East Godavari"
"4593","ANDHRA PRADESH SHASANA SABHA","TELTEL/2016/69086","24-10-2016","Telugu","Daily","TATIRAJU VENKATA RAO","TATIRAJU VENKATA RAO","Telangana","Rangareddy"
"4594","ANDHRA PRADESH STATE GOVERNMENT RETIRED EMPLOYEES ASSOCIATION PENSIONERS VAARTHA","APBIL/2018/76086","17-09-2018","English, Telugu","Monthly","Putcha SSN Prabhakara Sastry","ANDHRA PRADESH STATE GOVERNMENT RETIRED EMPLOYEES ASSOCIATION","Andhra Pradesh","Krishna"
