"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"3501","AMAN KI GATHA","UTTHIN/2022/85592","27-10-2023","Hindi","Daily","PRACHI SAINI","PRACHI SAINI","Uttarakhand","Haridwar"
"3502","AMAN KI KHABRE","MAHHIN/2022/83598","16-03-2023","Hindi","Weekly","NAEEM AHMAD ABBASI","NAEEM AHMAD ABBASI","Maharashtra","Mumbai"
"3503","AMAN KI MANZIL","MPHIN/2004/12976","04-08-2004","Hindi","Weekly","NAGINA QAUSAR","NAGINA QAUSAR","Madhya Pradesh","Bhopal"
"3504","AMAN KI MANZIL","MPHIN/26/A0291","13-01-2026","Hindi","Quarterly","NAGEENA KOUSAR","NAGEENA KOUSAR","Madhya Pradesh","Sagar"
"3505","AMAN KI MANZIL","MPHIN/2019/87349","20-05-2024","Hindi","Daily","NAGeeNA QAUSAR","NAGeeNA QAUSAR","Madhya Pradesh","Bhopal"
"3506","AMAN KI MANZIL","MPHIN/25/A5419","29-12-2025","Hindi","Quarterly","NAGEENA KOUSAR","NAGEENA KOUSAR","Madhya Pradesh","Harda"
"3507","AMAN KI MANZIL","MPHIN/26/A1416","25-02-2026","Hindi","Quarterly","NAGEENA KOUSAR","NAGEENA KOUSAR","Madhya Pradesh","Vidisha"
"3508","AMAN KI PAHCHAN","69280","29-10-1998","Hindi","Weekly","SANTOSH MISHRA","SANTOSH MISHRA","Madhya Pradesh","Bhopal"
"3509","AMAN KI PARVAZ","MPHIN/2012/47912","08-02-2013","Hindi","Weekly","FAIZAN ALI VAG","FAIZAN ALI VAG","Madhya Pradesh","Bhopal"
"3510","AMAN KI RAHEN","68767","17-07-1998","Hindi","Weekly","SAYYED MEHFOOZ","SAYYED MEHFOOZ","Madhya Pradesh","Bhopal"
"3511","AMAN KI RAHEN","MPHIN/2017/75686","18-07-2018","Hindi","Daily","SAYYED MEHFOOZ","SAYYED MEHFOOZ","Madhya Pradesh","Bhopal"
"3512","AMAN KI SHAAN","UPURD/2010/33845","01-10-2010","Urdu","Daily","DR. MEHDI HUSAIN RIZVI SAMIN","DR. M.H. RIZWI SAMIN","Uttar Pradesh","Jaunpur"
"3513","AMAN KI SHAAN","UPHIN/2012/43242","22-06-2012","Hindi","Weekly","MEHDI HUSAIN RIZVI SAMIN","DR. M.H. RIZWI SAMIN","Uttar Pradesh","Jaunpur"
"3514","AMAN KI SHAAN","UPHIN/2008/23077","25-02-2008","Hindi","Daily","DR. MEHDI HUSSAIN RIZWI SAMIN","DR. M.H. RIZWI SAMIN","Uttar Pradesh","Lucknow"
"3515","AMAN KI SHAAN","UPHIN/2012/48464","07-03-2013","Hindi","Daily","MEHDI HUSAIN RIZVI SAMIN","DR. M.H. RIZWI SAMIN","Uttar Pradesh","Jaunpur"
"3516","AMAN KO NAMAN","MPHIN/2010/32479","03-06-2010","Hindi","Weekly","GUL NASREEN","GUL NASREEN","Madhya Pradesh","Bhopal"
"3517","AMAN KRANTI","64925","12-06-1996","Hindi","Weekly","SHYAMSUNDER AGRAWAL","SHYAMSUNDER AGRAWAL","Uttar Pradesh","Ghaziabad"
"3518","AMAN LEKHNI","UPHIN/2014/58471","26-11-2014","Hindi","Daily","RAJ KUMAR SINGH","RAJ KUMAR SINGH","Uttar Pradesh","Lucknow"
"3519","AMAN MARG","MPHIN/2002/08298","21-11-2002","Hindi","Monthly","IRAM SOHAIL KHAN","IRAM SOHAIL KHAN","Madhya Pradesh","Bhopal"
