"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"4001","AMRAVATHI NEWS","APTEL/2015/62896","25-06-2015","Telugu","Daily","M. SIVA BHASKAR REDDY","M. SIVA BHASKAR REDDY","Andhra Pradesh","Sri Potti Sriramulu Nellore"
"4002","AMRAVATHI TELUGUSAMACHARA DINAPATRIKA","APTEL/2017/73738","07-11-2017","Telugu","Daily","M. OBILESU","M.OBILESU","Andhra Pradesh","Anantapur"
"4003","AMRAVATI ADARSH","MAHHIN/2016/67059","26-05-2016","Hindi","Daily","SANTOSH UTTAMRAO BAGADE","SANTOSH UTTAMRAO BAGADE","Maharashtra","Amravati"
"4004","AMRAVATI AKHBAR","MAHBIL/2012/45957","26-10-2012","Marathi","Weekly","RISHIKESH ANIL SHARMA","RISHIKESH ANIL SHARMA","Maharashtra","Amravati"
"4005","AMRAVATI BAGBAN","MAHHIN/2012/46351","12-11-2012","Hindi","Daily","MOHD. ABID","MOHD. ABID S/O SK . ISMAIL","Maharashtra","Amravati"
"4006","AMRAVATI BHUSHAN","MAHBIL/1991/05785","04-06-2001","Marathi, Hindi","Weekly","SANJAY SHRIKRISHNARAO MAPLE","SANJAY SHRIKRISHNARAO MAPLE","Maharashtra","Amravati"
"4007","AMRAVATI CHANAKYA","MAHHIN/2020/78871","24-08-2020","Hindi","Weekly","SANJAY PRALHAD AGRAWAL","SANJAY PRALHAD AGRAWAL","Maharashtra","Amravati"
"4008","AMRAVATI CHANDIKA","MAHHIN/2020/79109","03-12-2020","Hindi","Daily","GAJANAN ANNASAHEB PATEKAR","GAJANAN ANNASAHEB PATEKAR","Maharashtra","Amravati"
"4009","AMRAVATI CHAUFER","MAHMAR/1999/00926","29-04-2000","Marathi","Weekly","UTTAM M. BHELE","UTTAM M. BHELE","Maharashtra","Amravati"
"4010","AMRAVATI CHAUFER","MAHMAR/2001/04881","18-01-2001","Marathi","Daily","UTTAM MOHANAJI BHELE","UTTAM MOHANAJI BHELE","Maharashtra","Amravati"
"4011","AMRAVATI CHHAWA","MAHMAR/2015/61227","13-04-2015","Marathi","Weekly","AMBADAS SOPAN KACHOLE","AMBADAS SOPAN KACHOLE","Maharashtra","Amravati"
"4012","AMRAVATI CITY","MAHMAR/2015/64318","15-10-2015","Marathi","Weekly","VIKRANT SURESH KHEDKAR","VIKRANT SURESH KHEDKAR","Maharashtra","Amravati"
"4013","AMRAVATI CRIME","MAHBIL/2012/48213","22-02-2013","Marathi, Hindi","Weekly","RAJESHRI RAMESH INGALE","RAJESHRI RAMESH INGALE","Maharashtra","Amravati"
"4014","AMRAVATI DARSHAN","MAHMAR/2006/18905","05-09-2011","Marathi","Daily","PRAGATI GUNVANT DOIPHODE","PRAGATI GUNVANT DOIPHODE","Maharashtra","Amravati"
"4015","AMRAVATI DARSHAN","MAHMAR/2015/62667","17-06-2015","Marathi","Daily","PRAGATI GUNVANT DOIPHODE","PRAGATI GUNVANT DOIPHODE","Maharashtra","Amravati"
"4016","AMRAVATI DAUR","MHBIL/25/A0274","19-05-2025","Marathi, Hindi","Weekly","DINESH DEVSARAN YADAV","DINESH DEVSARAN YADAV","Maharashtra","Amravati"
"4017","AMRAVATI DE DANKA","MHMAR/26/A0650","22-01-2026","Marathi","Weekly","JAGDISH MAHADEVRAO GOWARDHAN","JAGDISH MAHADEVRAO GOWARDHAN","Maharashtra","Amravati"
"4018","AMRAVATI EVENING","24219","09-11-1974","Marathi","Daily","MADHU ANIL BANG","MADHU ANIL BANG","Maharashtra","Amravati"
"4019","AMRAVATI GATI","MAHBIL/2019/90789","02-06-2025","Marathi, Hindi","Weekly","ABDUL RAFIK ABDUL RAZZAK","ABDUL RAFIK ABDUL RAZZAK","Maharashtra","Amravati"
"4020","AMRAVATI HALCHAL","MAHBIL/2004/18028","29-12-2006","Marathi, Hindi","Weekly","MUKHTAR AHMAD ABDUL GAFFAR","MUKHTAR AHMAD ABDUL GAFFAR","Maharashtra","Amravati"
"4021","AMRAVATI JANWARTA","MAHMAR/2019/77588","20-06-2019","Marathi","Weekly","NAGESH RAMKRUSHNA UMBARKAR","NAGESH RAMKRUSHNA UMBARKAR","Maharashtra","Amravati"
"4022","AMRAVATI KA UDAY","MAHHIN/2018/76062","18-09-2018","Hindi","Weekly","ABDUL WASIM ABDUL SALIM","ABDUL WASIM ABDUL SALIM","Maharashtra","Amravati"
"4023","AMRAVATI KHABAR","MAHHIN/2010/36737","15-04-2011","Hindi","Daily","HARISH RAMRAKHYOMAL UDHWANI","HARISH RAMRAKHYOMAL UDHWANI","Maharashtra","Amravati"
"4024","AMRAVATI KHULASA","MAHMAR/2016/70907","26-04-2017","Marathi","Weekly","LALIT PRAFFULSINGH CHAVHAN","LALIT PRAFFUL SINGH CHAVHAN","Maharashtra","Amravati"
"4025","AMRAVATI KI AWAZ","TELURD/2017/72736","26-07-2017","Urdu","Daily","FAZALULLA KHAN","FAZALULLA KHAN","Telangana","Hyderabad"
"4026","AMRAVATI KI KHABAR","MAHHIN/2014/56482","09-08-2014","Hindi","Weekly","HARISH RAMRAKHYOMAL UDHWANI","HARISH RAMRAKHYOMAL UDHWANI","Maharashtra","Amravati"
"4027","AMRAVATI MAIL","59907","13-03-1995","Marathi","Daily","MOHAN V KALOTI","MOHAN V KALOTI","Maharashtra","Amravati"
"4028","AMRAVATI MANDAL","MAHHIN/2005/25277","14-08-2008","Hindi","Daily","ANIL JUGALKISHOR AGRAWAL","ANIL JUGALKISHOR AGRAWAL","Maharashtra","Yavatmal"
"4029","AMRAVATI MANDAL","MAHHIN/2003/25229","14-08-2008","Hindi","Daily","ANIL JUGALKISHOR AGRAWAL","ANIL JUGALKISHOR AGRAWAL","Maharashtra","Akola"
"4030","AMRAVATI MANDAL","59872","16-12-2010","Hindi","Daily","ANIL JUGALKISHOR AGRAWAL","ANIL JUGALKISHOR AGRAWAL","Maharashtra","Amravati"
"4031","AMRAVATI MIRROR","MHMAR/26/A4156","22-05-2026","Marathi","Daily","Mangesh Shankarrao Tayade","Mangesh Shankarrao Tayade","Maharashtra","Amravati"
"4032","AMRAVATI MIRROR","MAHHIN/2017/71377","28-04-2017","Hindi","Weekly","MANGESH SHANKARRAO TAYADE","MANGESH SHANKARRAO TAYADE","Maharashtra","Amravati"
"4033","AMRAVATI NAYA BHARAT","MAHBIL/2010/38054","28-06-2011","Marathi, Hindi","Weekly","ASHOK SHALIGRAMJI MUNDHADA","ASHOK SHALIGRAMJI MUNDHADA","Maharashtra","Amravati"
"4034","AMRAVATI NAYAK","MAHBIL/2021/79673","01-04-2021","Marathi, Hindi","Weekly","RAJENDRA BABARAO FUKE","RAJENDRA BABARAO FUKE","Maharashtra","Amravati"
"4035","AMRAVATI POST","MAHMAR/2014/58900","12-12-2014","Marathi","Weekly","SATISH SARANGDHAR HARNE","SATISH SARANGDHAR HARNE","Maharashtra","Amravati"
"4036","AMRAVATI PRABHAT","MAHHIN/2012/45835","19-10-2012","Hindi","Daily","RASHAD ALI SHAUKAT ALI","RASHAD ALI SHAUKAT ALI","Maharashtra","Amravati"
"4037","AMRAVATI PRATIBHA","MAHBIL/2017/72656","26-07-2017","BILINGUAL","Weekly","REKHA AJAY JOSHI","REKHA AJAY JOSHI DAYMA","Maharashtra","Amravati"
"4038","AMRAVATI RANGMANCH","MHMAR/25/A2144","08-08-2025","Marathi","Weekly","ANIKET BHAURAO DAHATONDE","ANIKET BHAURAO DAHATONDE","Maharashtra","Amravati"
"4039","AMRAVATI SACH","MAHBIL/2010/33752","06-06-2014","Marathi, Hindi","Weekly","SHABANA SHAHIN SAYYAD ZAKIR","SHABANA SHAHIN SAYYAD ZAKIR","Maharashtra","Amravati"
"4040","AMRAVATI SAKAL","66845","10-08-1997","Marathi, Hindi","Weekly","WASUDEORAO NAMDEORAO DADAKE","WASUDEORAO NAMDEORAO DADAKE","Maharashtra","Amravati"
"4041","AMRAVATI SANGRAM","MAHHIN/2013/49636","13-05-2013","Hindi","Weekly","AHMED SHAIKH NOOR","AHMED SHAIKH NOOR","Maharashtra","Amravati"
"4042","AMRAVATI SANKALP","MAHMAR/2016/67159","03-06-2016","Marathi","Weekly","KUNAL SUNILRAO JADHAV","KUNAL SUNILRAO JADHAV","Maharashtra","Amravati"
"4043","AMRAVATI SAVERA","MAHHIN/2012/42891","13-06-2012","Hindi","Daily","SAYYAD ZAKIR SAYYAD KHAIRUDDIN","SAYYAD ZAKIR SAYYAD KHAIRUDDIN","Maharashtra","Amravati"
"4044","AMRAVATI SHOURYA","MAHMAR/2018/76496","06-12-2018","Marathi","Weekly","VIJAYA SANDEEP FUKATE","VIJAYA SANDEEP FUKATE","Maharashtra","Amravati"
"4045","AMRAVATI TODAY","MAHHIN/2017/73955","23-11-2017","Hindi","Weekly","SYED ZAHED SYED ZAHIRULHASAN","SYED ZAHED SYED ZAHIRULHASAN","Maharashtra","Amravati"
"4046","AMRAVATI VARTHA","APTEL/2015/65024","01-12-2015","Telugu","Monthly","PANDRAVADA NAGESWARA RAO","PANDRAVADA NAGESWARA RAO","Andhra Pradesh","Visakhapatnam"
